rank,overallScore,graphicsScore,physicsScore,cpu,gpu,maxClock,coreClock,memClock,user,date
3502,20448,23117,12361,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,4924,2190,1438,EC-2,5월 4 2022
3503,20446,21261,16799,Intel Core i9-12900KS Processor,NVIDIA GeForce RTX 3090 Ti,5500,2010,1313,kf4unf,4월 23 2022
3504,20445,22101,14352,Intel Core i9-10900K Processor,NVIDIA GeForce RTX 3090 Ti,5101,2130,1388,placebo78,4월 21 2022
3505,20445,21287,16705,Intel Core i7-12700K Processor,NVIDIA GeForce RTX 3090 Ti,5000,2040,1313,Mass Scrat,4월 23 2022
3506,20445,22260,13985,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,5024,2235,1463,Bunch[e]s,4월 30 2022
3507,20445,23168,12272,Intel Core i9-9900KS Processor,NVIDIA GeForce RTX 3090 Ti,5181,2190,1463,Dk-zAkAN,5월 10 2022
3508,20445,21453,16148,Intel Core i7-12700K Processor,NVIDIA GeForce RTX 3090 Ti,4988,2040,1319,Lelouch.c.c,5월 14 2022
3509,20445,21257,16811,Intel Core i9-12900KS Processor,NVIDIA GeForce RTX 3090 Ti,4801,2010,1313,kf4unf,5월 19 2022
3510,20444,21587,15727,Intel Core i7-12700KF Processor,NVIDIA GeForce RTX 3090 Ti,4901,2025,1313,LordRGB,4월 12 2022
3511,20443,22624,13222,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,4974,2235,1344,Jayhud1,5월 8 2022
3512,20442,22750,12981,AMD Ryzen 7 5800X,NVIDIA GeForce RTX 3090 Ti,4702,2175,1375,,5월 13 2022
3513,20442,21499,15990,Intel Core i7-12700K Processor,NVIDIA GeForce RTX 3090 Ti,4988,2040,1313,凡蛋蛋,5월 22 2022
3514,20441,22433,13601,Intel Core i5-12600K Processor,NVIDIA GeForce RTX 3090 Ti,4489,2130,1313,newkorea2003,4월 9 2022
3515,20441,21243,16842,Intel Core i9-12900KS Processor,NVIDIA GeForce RTX 3090 Ti,5500,2010,1313,kf4unf,4월 23 2022
3516,20438,22754,12962,AMD Ryzen 9 5900X,NVIDIA GeForce RTX 3090 Ti,4922,2250,1404,[TT] anthony256,3월 31 2022
3517,20438,22730,13007,Intel Core i9-12900K Processor,NVIDIA GeForce RTX 3090 Ti,5187,2190,1313,NieR-3,5월 14 2022
